GTD ID,DATE,COUNTRY,CITY,PERPETRATOR 1,GUNCERTAIN 1,PERPETRATOR 2,GUNCERTAIN 2,PERPETRATOR 3,GUNCERTAIN 3,FATALITIES,INJURED,TARGET TYPE 1,TARGET TYPE 2,TARGET TYPE 3,REGION,ATTACK TYPE 1,ATTACK TYPE 2,ATTACK TYPE 3,WEAPON TYPE 1,WEAPON TYPE 2,WEAPON TYPE 3,WEAPON TYPE 4
201604250029,2016-04-25,"Syria","Diyabiyah","Islamic State of Iraq and the Levant (ISIL)",0,,,,,9,20,Military,Private Citizens & Property,,Middle East & North Africa,Bombing/Explosion,,,Explosives/Bombs/Dynamite,,,
201604230004,2016-04-23,"Iraq","Rashidiyah","Islamic State of Iraq and the Levant (ISIL)",0,,,,,10,28,Military,Police,Private Citizens & Property,Middle East & North Africa,Bombing/Explosion,,,Explosives/Bombs/Dynamite,,,
201604220001,2016-04-22,"Iraq","Radhwaniyah","Islamic State of Iraq and the Levant (ISIL)",0,,,,,8,31,Religious Figures/Institutions,,,Middle East & North Africa,Bombing/Explosion,,,Explosives/Bombs/Dynamite,,,
201604180014,2016-04-18,"Iraq","Bashir","Islamic State of Iraq and the Levant (ISIL)",0,,,,,16,20,Terrorists/Non-state Militia,,,Middle East & North Africa,Bombing/Explosion,,,Explosives/Bombs/Dynamite,,,
201604160009,2016-04-16,"Iraq","Tikrit district","Islamic State of Iraq and the Levant (ISIL)",0,,,,,22,Unknown,Utilities,,,Middle East & North Africa,Bombing/Explosion,,,Explosives/Bombs/Dynamite,Unknown,,
201604120009,2016-04-12,"Iraq","Al-Hajj","Islamic State of Iraq and the Levant (ISIL)",0,,,,,4,0,Unknown,,,Middle East & North Africa,Bombing/Explosion,,,Explosives/Bombs/Dynamite,,,
201604110005,2016-04-11,"Iraq","Bishkan","Islamic State of Iraq and the Levant (ISIL)",0,,,,,2,0,Unknown,,,Middle East & North Africa,Bombing/Explosion,,,Explosives/Bombs/Dynamite,,,
201604100016,2016-04-10,"Iraq","Albu Mufarrij","Islamic State of Iraq and the Levant (ISIL)",0,,,,,2,0,Terrorists/Non-state Militia,,,Middle East & North Africa,Bombing/Explosion,,,Explosives/Bombs/Dynamite,,,
201604100007,2016-04-10,"Iraq","Hit","Islamic State of Iraq and the Levant (ISIL)",0,,,,,7,12,Other,,,Middle East & North Africa,Bombing/Explosion,,,Explosives/Bombs/Dynamite,,,
201604090012,2016-04-09,"Iraq","Kharbardan","Islamic State of Iraq and the Levant (ISIL)",0,,,,,2,0,Unknown,,,Middle East & North Africa,Bombing/Explosion,,,Explosives/Bombs/Dynamite,,,
201604070015,2016-04-07,"Iraq","Bashir","Islamic State of Iraq and the Levant (ISIL)",0,,,,,18,10,Private Citizens & Property,,,Middle East & North Africa,Bombing/Explosion,,,Explosives/Bombs/Dynamite,Chemical,Unknown,
201604050051,2016-04-04,"Turkey","Gaziantep","Islamic State of Iraq and the Levant (ISIL)",0,,,,,0,0,Unknown,,,Middle East & North Africa,Bombing/Explosion,,,Explosives/Bombs/Dynamite,,,
201604040059,2016-04-04,"Syria","Jafrah","Islamic State of Iraq and the Levant (ISIL)",0,,,,,Unknown,Unknown,Unknown,,,Middle East & North Africa,Bombing/Explosion,,,Explosives/Bombs/Dynamite,,,
201604040024,2016-04-04,"Iraq","Al-Baghdadi","Islamic State of Iraq and the Levant (ISIL)",0,,,,,16,15,Government (General),Police,Private Citizens & Property,Middle East & North Africa,Bombing/Explosion,Armed Assault,,Explosives/Bombs/Dynamite,Explosives/Bombs/Dynamite,Firearms,
201604040023,2016-04-04,"Iraq","Mushahidah","Islamic State of Iraq and the Levant (ISIL)",0,,,,,4,10,Terrorists/Non-state Militia,,,Middle East & North Africa,Bombing/Explosion,,,Explosives/Bombs/Dynamite,,,
201604040019,2016-04-04,"Iraq","Baghdad","Islamic State of Iraq and the Levant (ISIL)",0,,,,,4,12,Military,Private Citizens & Property,,Middle East & North Africa,Bombing/Explosion,,,Explosives/Bombs/Dynamite,,,
201604040006,2016-04-04,"Iraq","Chibayish district","Islamic State of Iraq and the Levant (ISIL)",0,,,,,15,27,Business,Terrorists/Non-state Militia,,Middle East & North Africa,Bombing/Explosion,,,Explosives/Bombs/Dynamite,,,
201604040001,2016-04-04,"Iraq","Basra","Islamic State of Iraq and the Levant (ISIL)",0,,,,,6,10,Private Citizens & Property,,,Middle East & North Africa,Bombing/Explosion,,,Explosives/Bombs/Dynamite,,,
201604020011,2016-04-02,"Iraq","Mosul","Islamic State of Iraq and the Levant (ISIL)",0,,,,,6,0,Unknown,,,Middle East & North Africa,Bombing/Explosion,,,Explosives/Bombs/Dynamite,,,
201604020006,2016-04-02,"Iraq","Tarmiyah","Islamic State of Iraq and the Levant (ISIL)",0,,,,,5,9,Terrorists/Non-state Militia,,,Middle East & North Africa,Bombing/Explosion,,,Explosives/Bombs/Dynamite,,,
201603310020,2016-03-31,"Iraq","Makhmur district","Islamic State of Iraq and the Levant (ISIL)",0,,,,,4,2,Police,,,Middle East & North Africa,Bombing/Explosion,,,Explosives/Bombs/Dynamite,,,
201603290005,2016-03-29,"Iraq","Baghdad","Islamic State of Iraq and the Levant (ISIL)",0,,,,,4,15,Business,Private Citizens & Property,,Middle East & North Africa,Bombing/Explosion,,,Explosives/Bombs/Dynamite,,,
201603250029,2016-03-25,"Iraq","Iskandariyah","Islamic State of Iraq and the Levant (ISIL)",0,,,,,31,60,Government (General),Business,Terrorists/Non-state Militia,Middle East & North Africa,Bombing/Explosion,,,Explosives/Bombs/Dynamite,,,
201603230024,2016-03-23,"Iraq","Baiji district","Islamic State of Iraq and the Levant (ISIL)",0,,,,,4,0,Private Citizens & Property,,,Middle East & North Africa,Bombing/Explosion,,,Explosives/Bombs/Dynamite,Explosives/Bombs/Dynamite,,
201603220061,2016-03-22,"Turkey","Unknown","Islamic State of Iraq and the Levant (ISIL)",0,,,,,0,0,Private Citizens & Property,,,Middle East & North Africa,Bombing/Explosion,,,Explosives/Bombs/Dynamite,,,
201603210031,2016-03-21,"Iraq","Hit","Islamic State of Iraq and the Levant (ISIL)",0,,,,,4,0,Unknown,,,Middle East & North Africa,Bombing/Explosion,,,Explosives/Bombs/Dynamite,,,
201603200003,2016-03-20,"Iraq","Haqlaniyah","Islamic State of Iraq and the Levant (ISIL)",0,,,,,4,3,Government (General),,,Middle East & North Africa,Bombing/Explosion,,,Explosives/Bombs/Dynamite,,,
201603190005,2016-03-19,"Turkey","Istanbul","Islamic State of Iraq and the Levant (ISIL)",0,,,,,5,36,Private Citizens & Property,Private Citizens & Property,,Middle East & North Africa,Bombing/Explosion,,,Explosives/Bombs/Dynamite,,,
