Id,Label,timeset,modularity_class,indegree,outdegree,Degree,eigencentrality,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality
soran_hawrami,soran_hawrami,,23,1,0,1,0.166677,0,0,0,0
Mudar_Zahran,Mudar_Zahran,,26,1,0,1,0.083867,0,0,0,0
faysalalsomali,faysalalsomali,,28,1,0,1,0.003199,0,0,0,0
ninja9k,ninja9k,,26,1,0,1,0.083867,0,0,0,0
rashidunWaleed,rashidunWaleed,,17,1,0,1,0.002567,0,0,0,0
jacksanders1965,jacksanders1965,,21,1,0,1,0.070325,0,0,0,0
mozlemgurl,mozlemgurl,,13,4,0,4,0.151956,0,0,0,0
SalafiEvent,SalafiEvent,,24,1,0,1,0.003412,0,0,0,0
StaatsNieuwsII,StaatsNieuwsII,,13,1,0,1,0.046761,0,0,0,0
_AboTourab,_AboTourab,,26,1,0,1,0.083867,0,0,0,0
truthHURTS54322,truthHURTS54322,,24,2,0,2,0.087279,0,0,0,0
KhubaKh,KhubaKh,,24,1,0,1,0.003412,0,0,0,0
wikileaks,wikileaks,,15,3,0,3,0.074853,0,0,0,0
tedcruz,tedcruz,,11,1,0,1,0.012813,0,0,0,0
deepsea28230571,deepsea28230571,,7,2,0,2,0.256019,0,0,0,0
WavveyMo,WavveyMo,,25,1,0,1,0.044557,0,0,0,0
jihadiuser21,jihadiuser21,,3,1,0,1,0.002808,0,0,0,0
WorldConflictNe,WorldConflictNe,,21,2,0,2,0.073737,0,0,0,0
back_to_62,back_to_62,,21,1,0,1,0.002808,0,0,0,0
NBCNews,NBCNews,,7,2,0,2,0.047155,0,0,0,0
Stranger__Akh,Stranger__Akh,,9,3,0,3,0.152235,0,0,0,0
HifzTipz,HifzTipz,,3,1,0,1,0.001721,0,0,0,0
AK47witness,AK47witness,,19,1,0,1,0.012905,0,0,0,0
IBKR_TI,IBKR_TI,,6,1,0,1,0.033913,0,0,0,0
AbuHaleema28,AbuHaleema28,,5,1,0,1,0.002808,0,0,0,0
YusuF_70312252,YusuF_70312252,,23,1,0,1,0.166677,0,0,0,0
Jazrawi_Heit,Jazrawi_Heit,,8,2,0,2,0.014534,0,0,0,0
AntiMedia,AntiMedia,,26,1,0,1,0.083867,0,0,0,0
Buzzriet,Buzzriet,,26,1,0,1,0.083867,0,0,0,0
OPSEC_IT,OPSEC_IT,,21,1,0,1,0.070325,0,0,0,0
ZaouguiChams,ZaouguiChams,,19,1,0,1,0.018083,0,0,0,0
2lejit2kwik,2lejit2kwik,,21,2,0,2,0.154192,0,0,0,0
___TNT________,___TNT________,,4,1,0,1,0.001721,0,0,0,0
BuzzFeedNews,BuzzFeedNews,,3,1,0,1,0.001721,0,0,0,0
klakishini11,klakishini11,,13,1,0,1,0.001721,0,0,0,0
Hjrh_12_Jhad,Hjrh_12_Jhad,,2,1,0,1,0.001721,0,0,0,0
CBSWalsh,CBSWalsh,,23,1,0,1,0.166677,0,0,0,0
mod_russia,mod_russia,,26,1,0,1,0.083867,0,0,0,0
siteintelgroup,siteintelgroup,,27,6,0,6,0.217939,0,0,0,0
cathynewman,cathynewman,,11,1,0,1,0.012813,0,0,0,0
zzgab,zzgab,,27,1,0,1,0.004834,0,0,0,0
BrotherJalaal,BrotherJalaal,,10,1,0,1,0.001721,0,0,0,0
AlGherib,AlGherib,,8,1,0,1,0.002808,0,0,0,0
mediapart,mediapart,,26,1,0,1,0.083867,0,0,0,0
Live_UK_News,Live_UK_News,,19,1,0,1,0.018083,0,0,0,0
TheFunnyWorId,TheFunnyWorId,,27,1,0,1,0.004834,0,0,0,0
san_ios,san_ios,,14,1,0,1,0.024734,0,0,0,0
Mountainkkpouio,Mountainkkpouio,,13,1,0,1,0.06556,0,0,0,0
AimanofArabia,AimanofArabia,,3,2,0,2,0.085588,0,0,0,0
jhjh105jh,jhjh105jh,,20,1,0,1,0.013988,0,0,0,0
KacSaaatOldu,KacSaaatOldu,,26,1,0,1,0.083867,0,0,0,0
YusuF90192469,YusuF90192469,,26,1,0,1,0.083867,0,0,0,0
aktaruls,aktaruls,,9,1,0,1,0.002808,0,0,0,0
arisroussinos,arisroussinos,,22,2,0,2,0.092102,0,0,0,0
Fiseebilillah,Fiseebilillah,,19,1,0,1,0.018083,0,0,0,0
Nassim886065021,Nassim886065021,,26,1,0,1,0.083867,0,0,0,0
murasil1,murasil1,,13,1,57,58,0.06556,6,0.316386,0.372635,0.000145
AbuNaseeha_03,AbuNaseeha_03,,25,4,27,31,0.112663,7,0.284923,0.322153,0.00028
aopyihg45,aopyihg45,,28,1,0,1,0.001721,0,0,0,0
squadsquaaaaad,squadsquaaaaad,,17,1,15,16,0.001721,1,1,1,0.000001
kufr_bit_tagoot,kufr_bit_tagoot,,8,2,0,2,0.006702,0,0,0,0
sararobiian2,sararobiian2,,23,1,0,1,0.166677,0,0,0,0
MouminSawady,MouminSawady,,23,1,0,1,0.166677,0,0,0,0
erhabi37,erhabi37,,9,2,0,2,0.005615,0,0,0,0
A7_Mirza,A7_Mirza,,24,1,0,1,0.003412,0,0,0,0
Sheikh_AJ_Quote,Sheikh_AJ_Quote,,17,1,0,1,0.001721,0,0,0,0
SafaricomLtd,SafaricomLtd,,8,1,0,1,0.001721,0,0,0,0
MeTheKramerFan,MeTheKramerFan,,7,2,0,2,0.332314,0,0,0,0
WakasFahad10,WakasFahad10,,15,1,0,1,0.001721,0,0,0,0
jisrtv,jisrtv,,15,2,0,2,0.092102,0,0,0,0
StickGetsItDone,StickGetsItDone,,26,1,0,1,0.083867,0,0,0,0
AsgharBukhari,AsgharBukhari,,10,1,0,1,0.001721,0,0,0,0
Maveraunnehir29,Maveraunnehir29,,7,1,0,1,0.090381,0,0,0,0
warreports,warreports,,25,4,0,4,0.143362,0,0,0,0
fahrihamzah_eng,fahrihamzah_eng,,2,1,0,1,0.002567,0,0,0,0
NinjaTlemceniii,NinjaTlemceniii,,26,1,0,1,0.083867,0,0,0,0
hubal_imara,hubal_imara,,27,1,0,1,0.004834,0,0,0,0
uygaraktas,uygaraktas,,5,1,0,1,0.001721,0,0,0,0
Saladain74Is,Saladain74Is,,26,1,0,1,0.083867,0,0,0,0
IshaaqNewton,IshaaqNewton,,28,2,0,2,0.016012,0,0,0,0
miruzair1,miruzair1,,27,1,0,1,0.004834,0,0,0,0
DriftOne103,DriftOne103,,9,1,0,1,0.002808,0,0,0,0
IChIi2LhQXZh9uC,IChIi2LhQXZh9uC,,22,1,0,1,0.004981,0,0,0,0
ShamiConquest,ShamiConquest,,21,2,0,2,0.135885,0,0,0,0
Iraqimilksheikh,Iraqimilksheikh,,20,2,0,2,0.013439,0,0,0,0
faizaz,faizaz,,26,1,0,1,0.083867,0,0,0,0
abu01_yousha,abu01_yousha,,8,1,0,1,0.007879,0,0,0,0
swecin,swecin,,23,1,0,1,0.166677,0,0,0,0
_salsabeela,_salsabeela,,20,1,0,1,0.006053,0,0,0,0
newzalrts,newzalrts,,20,2,0,2,0.084313,0,0,0,0
kssk73356927,kssk73356927,,17,1,0,1,0.004459,0,0,0,0
BAQIA_KHILAFAH,BAQIA_KHILAFAH,,2,1,0,1,0.002567,0,0,0,0
Adam8525u,Adam8525u,,6,1,0,1,0.033913,0,0,0,0
YusuF444333,YusuF444333,,13,1,0,1,0.046761,0,0,0,0
guidedsalafi,guidedsalafi,,27,1,0,1,0.004834,0,0,0,0
Cnn,Cnn,,22,1,0,1,0.004981,0,0,0,0
Tails_live,Tails_live,,8,2,0,2,0.072046,0,0,0,0
Iman84NL,Iman84NL,,7,1,0,1,0.090381,0,0,0,0
sandukankanack,sandukankanack,,3,4,0,4,0.042628,0,0,0,0
ionacraig,ionacraig,,13,1,0,1,0.001721,0,0,0,0
StarWhite69,StarWhite69,,24,1,0,1,0.003412,0,0,0,0
KhaledWardak,KhaledWardak,,7,1,0,1,0.165638,0,0,0,0
FezzanLibyaMG,FezzanLibyaMG,,26,1,0,1,0.083867,0,0,0,0
Umm__Saeed25,Umm__Saeed25,,8,1,0,1,0.001721,0,0,0,0
farisman1985,farisman1985,,23,1,0,1,0.166677,0,0,0,0
lan_atharan,lan_atharan,,26,1,0,1,0.083867,0,0,0,0
Souria4Syrians,Souria4Syrians,,6,2,0,2,0.124295,0,0,0,0
karmasupra16,karmasupra16,,17,1,0,1,0.001721,0,0,0,0
Hamas_Mujahid_,Hamas_Mujahid_,,7,2,0,2,0.256019,0,0,0,0
YahooNews,YahooNews,,11,1,0,1,0.012813,0,0,0,0
TweetsByReefi,TweetsByReefi,,20,1,0,1,0.007386,0,0,0,0
ForeignAffairs,ForeignAffairs,,14,1,0,1,0.024877,0,0,0,0
janatulnaeem22,janatulnaeem22,,14,1,0,1,0.029711,0,0,0,0
ajmubasher,ajmubasher,,26,1,0,1,0.083867,0,0,0,0
_blvrnasiha,_blvrnasiha,,9,1,0,1,0.002808,0,0,0,0
rayan_muslim,rayan_muslim,,26,1,0,1,0.083867,0,0,0,0
TimesofIslambad,TimesofIslambad,,24,1,0,1,0.003412,0,0,0,0
bbcworldservice,bbcworldservice,,8,1,0,1,0.007879,0,0,0,0
Jazrawi_Uod,Jazrawi_Uod,,5,1,0,1,0.002808,0,0,0,0
tma055,tma055,,3,1,0,1,0.001721,0,0,0,0
truthHURTStough,truthHURTStough,,25,1,0,1,0.026466,0,0,0,0
stevoiraq,stevoiraq,,11,1,0,1,0.012813,0,0,0,0
abuahmad__5,abuahmad__5,,21,1,0,1,0.070325,0,0,0,0
abcnewsMelb,abcnewsMelb,,13,1,0,1,0.001721,0,0,0,0
L0gg0l,L0gg0l,,13,2,0,2,0.168398,0,0,0,0
baaqiya_01,baaqiya_01,,28,2,23,25,0.005615,2,0.789474,0.866667,0.000002
_22_ucceloverde,_22_ucceloverde,,2,1,0,1,0.001721,0,0,0,0
ShortHadiths,ShortHadiths,,8,1,0,1,0.002808,0,0,0,0
MarwanTun_si,MarwanTun_si,,11,2,0,2,0.09668,0,0,0,0
Js8twitto23,Js8twitto23,,26,1,0,1,0.083867,0,0,0,0
Al_maqalaat11,Al_maqalaat11,,8,1,0,1,0.001721,0,0,0,0
TRENDlNG_NEWS,TRENDlNG_NEWS,,27,2,0,2,0.077868,0,0,0,0
Purna_Sen,Purna_Sen,,24,1,0,1,0.003412,0,0,0,0
Gunslinger__G,Gunslinger__G,,8,2,0,2,0.091746,0,0,0,0
dailyreminders,dailyreminders,,9,1,0,1,0.002808,0,0,0,0
witness_muslim,witness_muslim,,8,3,0,3,0.007941,0,0,0,0
AtajevWitness,AtajevWitness,,13,1,0,1,0.046761,0,0,0,0
Nussra_E,Nussra_E,,13,4,0,4,0.120246,0,0,0,0
CucumberGarlic,CucumberGarlic,,21,1,0,1,0.070325,0,0,0,0
ShutGuantanamo,ShutGuantanamo,,24,1,0,1,0.003412,0,0,0,0
Adamhasakah20,Adamhasakah20,,21,1,0,1,0.070325,0,0,0,0
ggreenwald,ggreenwald,,7,2,0,2,0.174248,0,0,0,0
badubaii,badubaii,,26,1,0,1,0.083867,0,0,0,0
michaelh992,michaelh992,,27,7,0,7,0.242673,0,0,0,0
bintpaladin,bintpaladin,,8,3,0,3,0.034239,0,0,0,0
HamzaBosnawi,HamzaBosnawi,,6,1,0,1,0.033913,0,0,0,0
vsevolod_tk,vsevolod_tk,,25,4,0,4,0.121102,0,0,0,0
Erhabi39,Erhabi39,,8,2,0,2,0.036721,0,0,0,0
annaabbi,annaabbi,,26,1,0,1,0.083867,0,0,0,0
DrNosra,DrNosra,,23,1,0,1,0.166677,0,0,0,0
Sakker__,Sakker__,,19,5,0,5,0.142285,0,0,0,0
